## Van Noten et al. JOSE - Electronic Supplement S2 - Results of the HVSR Survey south of Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nr: number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Date: date of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Name: ID name of measurement (A, B, C are measured with different Citysharks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Easting: location in Lambert '72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Northing: location in Lambert '72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lon: longitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lat:latitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Gain: amplification gain on Cityshark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ovmx: allowed saturation percentage (in %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rec. time: recording time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SR: Sampling rate (in Hz) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Start time: starting time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#End time: End time of acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Filename: Filenumber of raw ambient noise data file (available upon request),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 min: f0_win/stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_win: average resonance frequency by taking the f0 of each individual window and averaging all f0 values from these windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 average: scanning the average curve and identifying the frequency at which the maximum amplitude occurs (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip: resonance frequency computed after interpolating the HV-Amplitude graph using python (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip_diff: difference between f0_ip and f0 average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#error: standard deviation on f0 (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 max: f0_win.stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A0: maximum amplitude (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nw: number of windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Geology: Cover geology of the location (see paper for abbreviations; al = alluvium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Group: Group number of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BM: Stratigraphy of bedrock of the Brabant Massif (pTu: Tubize Formation; pBl: Blanmont Formation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A_max: maximum amplitude at resonance frequency deduced from the HVSR polarisation analysis (see Fig. 4 of paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#max_freq: Resonance frequency at A_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#max_Azi: Azimuth at which resonance frequency is maximum (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A_min: minimum amplitude at resonance frequency deduced from the HVSR polarisation analysis (see Fig. 4 of paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#min_fre q:  Azimuth at which resonance frequency is minimal (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#min_Azi: Azimuth at which resonance frequency is minimum (deduced from polarisation analysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nr,Date,Name,Easting,Northing,lat,lon,Z (DEM),Gain,Ovmx,Rec. time,SR,Start time,End time,Filename,f0 min,f0_win,f0 average,f0_ip,f0_ip_diff,error,f0 max,A0,nw,Geology,Region,BM,Th_indiv,Top_indiv,Th_all,Top_all,diff,borehole,A_max,max_freq,max_Azi,A_min,min_freq,min_Azi
60,03/08/2017,A261,147224.348,161011.4734,50.75960142,4.329411438,101.1,256,5,00:20,100,14:53,15:13,170803_1453.261,1.058,1.092,1.092,1.099,0.006,0.034,1.126,10.078,12,Br,R3,PTu,75.91,25.19,75.61,25.49,0.3,,9.28264,1.06831,0,6.32652,1.13197,80
61,03/08/2017,A262,147202.709,161368.6807,50.76281251,4.329102091,94.91,256,5,00:20,100,15:17,15:37,170803_1517.262,1.044,1.107,1.092,1.089,-0.018,0.063,1.17,9.176,17,Br,R3,PTu,77.06,17.85,76.78,18.13,0.28,,9.6503,1.08296,170,7.22755,1.1514,70
62,07/08/2017,A263,146897.2535,161190.1567,50.76120611,4.324774027,82.76,512,5,00:20,100,09:35,09:55,170807_0935.263,1.022,1.058,1.037,1.049,-0.009,0.036,1.095,9.956,13,Br,R3,PBl,81.94,0.82,81.77,0.99,0.16,,9.93158,1.05028,10,8.11837,1.12046,90
63,07/08/2017,A264,146815.8118,161591.9853,50.764818,4.3236163,77.98,256,5,00:20,100,10:06,10:26,170807_1006.264,1.051,1.095,1.092,1.085,-0.01,0.044,1.139,10.752,27,Br,R3,PTu,77.53,0.45,77.26,0.72,0.27,,11.3362,1.06831,50,8.51972,1.08296,140
64,07/08/2017,A265,146596.5336,161805.8201,50.76673909,4.320506169,95.55,256,5,00:20,100,10:33,10:53,170807_1033.265,1.125,1.163,1.15,1.168,0.005,0.038,1.201,12.11,19,Br,R3,PBl,68.69,26.86,68.25,27.3,0.45,,11.3483,1.18319,80,9.94097,1.18319,170
65,07/08/2017,A266,147936.7969,161902.3789,50.7676133,4.339504172,91.92,128,5,00:20,100,11:02,11:22,170807_1102.266,1.033,1.111,1.092,1.095,-0.016,0.078,1.189,9.174,24,Br,R3,PBl,76.37,15.55,76.08,15.84,0.29,,2.46316,1.36973,20,2.28242,1.36973,110
66,07/08/2017,A267,148031.6503,161725.482,50.76602337,4.340849684,101.15,128,5,00:20,100,11:29,11:49,170807_1129.267,1.046,1.073,1.092,1.069,-0.004,0.027,1.1,14.733,20,Br,R3,PBl,79.44,21.71,79.22,21.93,0.22,,14.1901,1.06831,30,11.4578,1.08296,120
67,07/08/2017,A268,148246.0357,161578.6633,50.76470418,4.343889276,89.34,256,5,00:20,100,11:56,12:16,170807_1156.268,1.109,1.141,1.15,1.142,0,0.033,1.174,9.638,13,Br,R3,PBl,71.28,18.06,70.88,18.46,0.4,,7.96417,1.15584,160,7.09953,1.15584,70
68,07/08/2017,A269,148500.9233,161695.6538,50.76575658,4.347501749,106.19,256,5,00:20,100,12:23,12:43,170807_1223.269,0.914,0.939,0.935,0.943,0.003,0.025,0.965,15.378,12,Ld,R3,PBl,97.59,8.6,97.83,8.36,-0.24,,13.5236,0.925901,30,10.678,0.925901,120
69,07/08/2017,A270,148248.1668,161945.3866,50.76800092,4.343917794,103.3,128,5,00:20,100,12:49,13:09,170807_1249.270,0.931,0.962,0.935,0.959,-0.002,0.031,0.992,15.791,17,Ld,R3,PBl,94.93,8.37,95.1,8.2,-0.17,,15.4128,0.951536,30,10.9274,0.967873,100
70,07/08/2017,A271,149127.697,161811.2512,50.76679699,4.356385963,105.31,64,5,00:20,100,14:30,14:50,170807_1430.271,0.884,0.919,0.935,0.923,0.004,0.035,0.955,14.716,26,Ld,R3,PTu,101.09,4.22,101.43,3.88,-0.34,,14.6704,0.901089,20,11.1929,0.932296,90
71,07/08/2017,A272,149322.1856,161731.5798,50.76608101,4.359143022,95.98,64,5,00:20,100,14:58,15:18,170807_1458.272,0.905,0.925,0.935,0.93,0.005,0.02,0.945,12.458,18,Br,R3,PTu,99.84,-3.86,100.14,-4.16,-0.3,,12.6535,0.91656,170,9.91222,0.919686,70
72,07/08/2017,A273,149085.1054,161490.5635,50.76391404,4.355782969,106.24,256,5,00:20,100,15:29,15:49,170807_1529.273,0.893,0.929,0.935,0.93,0.001,0.036,0.964,13.378,20,Ld,R3,PTu,99.84,6.4,100.14,6.1,-0.3,,13.6693,0.91656,10,11.288,0.951536,100
73,07/08/2017,A274,148986.4214,161649.4457,50.76534219,4.354383771,107.33,256,5,00:20,100,15:57,16:17,170807_1557.274,0.915,0.959,0.985,0.959,0.001,0.044,1.003,7.754,13,Ld,R3,PTu,94.93,12.4,95.1,12.23,-0.17,,6.40577,0.98449,150,5.25029,1.09781,60
74,09/08/2017,A275,148431.8387,161931.1494,50.76787344,4.346521512,105.03,256,5,00:20,100,09:18,09:38,170809_0918.275,0.89,0.915,0.935,0.916,0.002,0.024,0.939,16.317,16,Ld,R3,PTu,102.36,2.67,102.73,2.3,-0.38,,17.5897,0.896638,0,14.502,0.927978,80
75,09/08/2017,A276,148688.2774,161825.5761,50.76692498,4.350157036,101.52,256,5,00:20,100,09:45,10:05,170809_0945.276,0.891,0.915,0.935,0.913,-0.002,0.024,0.938,16.399,30,Br,R3,PTu,102.91,-1.39,103.3,-1.78,-0.39,,17.7502,0.91656,0,14.2597,0.91656,90
76,09/08/2017,A277,148849.4333,161647.0511,50.76532042,4.352441999,108.36,256,5,00:20,100,10:13,10:33,170809_1013.277,0.893,0.917,0.935,0.916,0,0.024,0.94,14.938,18,Ld,R3,PTu,102.36,6,102.73,5.63,-0.38,,16.2883,0.901089,10,13.1579,0.932296,110
77,09/08/2017,A278,148955.9688,161862.7766,50.76725992,4.353951536,95.99,128,5,00:20,100,10:45,11:05,170809_1045.278,0.877,0.912,0.935,0.913,0.001,0.035,0.947,11.173,22,Br,R3,PTu,102.91,-6.92,103.3,-7.31,-0.39,,12.4158,0.898027,20,9.33195,0.932296,100
78,09/08/2017,A279,149345.5236,161585.4888,50.76476772,4.359474078,103.99,128,5,00:20,100,11:12,11:32,170809_1112.279,0.894,0.944,0.935,0.954,45.749,0.05,0.994,11.518,20,Br,R3,PTu,95.75,8.24,95.94,8.05,-0.19,,11.4192,0.967873,0,9.25474,0.948302,80
79,09/08/2017,A280,149558.7984,161706.8573,50.76585897,4.362497041,102.6,128,5,00:20,100,11:43,12:03,170809_1143.280,0.881,0.925,0.935,0.938,0.013,0.044,0.969,11.723,21,Br,R3,PTu,98.45,4.15,98.71,3.89,-0.27,,12.0937,0.935475,170,11.0396,0.938666,60
80,09/08/2017,A281,149796.5405,161514.793,50.76413248,4.365867106,105.45,256,5,00:20,100,12:11,12:31,170809_1211.281,0.89,0.932,0.935,0.936,0.004,0.042,0.975,9.319,27,Br,R3,PTu,98.79,6.66,99.07,6.38,-0.27,,9.67633,0.922822,0,8.32773,0.951536,100
81,09/08/2017,A282,149551.9947,161431.2426,50.76338127,4.362400897,99.95,256,5,00:20,100,12:39,12:59,170809_1239.282,0.877,0.937,0.935,0.936,-0.001,0.06,0.997,9.447,26,Br,R3,PTu,98.79,1.16,99.07,0.88,-0.27,,9.40047,0.948302,0,8.37729,0.932296,90
82,09/08/2017,A283,149824.1247,161205.5221,50.76135223,4.366258203,107.75,128,5,00:30,100,13:13,13:43,170809_1313.283,0.926,0.986,0.985,0.973,-0.014,0.06,1.046,8.115,20,Br,R3,PTu,92.7,15.05,92.81,14.94,-0.11,,6.38307,0.967873,170,5.75956,1.00481,80
83,09/08/2017,A284,149995.4729,161773.4523,50.76645777,4.368686891,90.86,256,5,00:20,100,14:09,14:29,170809_1409.284,0.851,0.896,0.888,0.886,-0.01,0.046,0.942,8.498,26,Br,R3,PTu,108.11,-17.25,108.66,-17.8,-0.55,,9.15998,0.867967,10,6.84199,0.901089,90
84,09/08/2017,A286,149828.5105,161706.7317,50.76585796,4.366320198,98.65,256,5,00:20,100,15:03,15:23,170809_1503.286,0.917,0.966,0.985,0.959,-0.006,0.048,1.014,8.278,10,Br,R3,PTu,94.93,3.72,95.1,3.55,-0.17,,8.29548,0.964583,50,7.3462,0.951536,150
85,09/08/2017,A287,150378.2522,161859.9384,50.7672351,4.374112941,108.62,256,5,00:20,100,15:34,15:54,170809_1534.287,0.86,0.905,0.888,0.906,0.002,0.045,0.949,10.236,30,Ld,R3,PTu,104.22,4.4,104.65,3.97,-0.43,,10.3449,0.898027,30,9.4621,0.91656,140
86,09/08/2017,A288,150568.0302,161850.3196,50.76714846,4.376803098,113.84,128,5,00:20,100,15:57,16:17,170809_1557.288,0.812,0.851,0.843,0.853,0.002,0.04,0.891,11.262,25,Mal,R3,PTu,115.05,-1.21,115.82,-1.98,-0.77,,11.2077,0.850416,40,8.90905,0.882869,120
87,09/08/2017,A289,150426.1042,161680.6174,50.76562302,4.37479103,107.89,256,5,00:20,100,16:20,16:40,170809_1620.289,0.786,0.875,0.888,0.873,-0.001,0.088,0.963,8.01,28,Ld,R3,PTu,110.76,-2.87,111.39,-3.5,-0.63,,9.25965,0.879868,0,5.91554,1.05028,100
88,11/08/2017,A290,150909.7485,162002.1581,50.76851298,4.381647467,123.63,64,5,00:20,100,08:05,08:25,170811_0805.290,0.832,0.861,0.843,0.857,-0.004,0.029,0.889,12.615,13,Shh,R3,PTu,114.17,9.46,114.92,8.71,-0.74,,12.5214,0.850416,40,11.6544,0.865017,170
89,11/08/2017,A291,150902.7173,161679.8457,50.7656155,4.381546965,125.84,128,5,00:20,100,08:35,08:55,170811_0835.291,0.768,0.82,0.843,0.84,0.021,0.052,0.871,12.294,17,Shh,R3,PTu,117.99,7.85,118.86,6.98,-0.87,,2.70161,0.850416,10,2.35169,0.870927,120
90,11/08/2017,A292,150427.7382,161511.7722,50.76410515,4.374813975,111.7,128,5,00:20,100,09:04,09:24,170811_0904.292,0.869,0.935,0.935,0.943,0.007,0.066,1.002,9.658,24,Ld,R3,PTu,97.59,14.11,97.83,13.87,-0.24,,7.66213,0.967873,170,6.8645,0.941867,80
91,11/08/2017,A293,150716.1076,161401.5559,50.76311403,4.378901218,125.8,256,5,00:20,100,09:34,09:54,170811_0934.293,0.782,0.817,0.801,0.81,-0.007,0.035,0.852,11.72,24,Shh,R3,PTu,125.25,0.55,126.36,-0.56,-1.11,,12.2284,0.799865,170,10.0001,0.850416,80
92,11/08/2017,A294,150841.1569,161317.7943,50.76236086,4.380673482,121.48,128,5,00:20,100,10:07,10:27,170811_1007.294,0.792,0.807,0.801,0.804,-0.003,0.015,0.822,13.897,21,Shh,R3,PTu,126.78,-5.3,127.95,-6.47,-1.17,,14.5432,0.799865,10,12.0099,0.816373,110
93,11/08/2017,A295,150798.2453,161027.1595,50.7597482,4.380064591,126.84,128,5,00:20,100,10:41,11:01,170811_1041.295,0.789,0.816,0.801,0.82,0.004,0.028,0.844,13.867,22,Shh,R3,PTu,122.75,4.09,123.78,3.06,-1.03,,14.9548,0.816373,0,11.0235,0.833221,100
94,11/08/2017,A296,150441.7319,161296.6487,50.76217124,4.375012042,112.25,64,5,00:20,100,11:15,11:35,170811_1115.296,0.799477,0.920309,0.93331,0.936,0.00269,0.120832,1.04114,7.5783,41,Ld,R3,PTu,98.79,13.46,99.07,13.18,-0.27,,6.42218,0.833221,10,4.47224,0.91656,90
95,11/08/2017,A297,150282.8777,161332.3737,50.76249251,4.372760498,107.87,256,5,00:20,100,11:41,12:01,170811_1141.297,0.874,0.923,0.935,0.916,-0.007,0.05,0.973,8.874,22,Br,R3,PTu,102.36,5.51,102.73,5.14,-0.38,,9.42871,0.901089,20,8.7545,0.951536,140
96,11/08/2017,A298,150601.9714,160942.4959,50.75898735,4.377282629,127.81,128,5,00:20,100,12:20,12:40,170811_1220.298,0.813,0.863,0.843,0.853,-0.009,0.05,0.912,12.956,22,Shh,R3,PTu,115.05,12.76,115.82,11.99,-0.77,,3.97697,0.867967,170,2.99491,0.865017,70
97,11/08/2017,A299,150493.7679,160288.3102,50.75310651,4.375748114,107.13,512,5,00:40,100,13:22,14:02,170811_1322.299,0.895,0.93,0.935,0.926,-0.003,0.035,0.964,9.882,31,Br,R3,PTu,100.55,6.58,100.87,6.26,-0.33,91.4,10.8717,0.901089,170,7.79461,0.945079,70
98,16/08/2017,A300,151101.8937,160885.5022,50.75847422,4.384367796,123.03,64,5,00:20,100,09:12,09:32,170816_0912.300,0.773,0.806,0.801,0.807,0.001,0.032,0.838,12.091,20,Mal,R3,PTu,126.01,-2.98,127.15,-4.12,-1.14,,14.0109,0.783692,20,8.83865,0.850416,110
99,16/08/2017,A311,150812.2339,160625.6388,50.75613862,4.380261919,114.91,128,5,00:20,100,09:56,10:16,170816_0956.311,0.822,0.87,0.888,0.883,0.013,0.048,0.918,10.052,21,Ld,R3,PTu,108.71,6.2,109.28,5.63,-0.57,,9.9398,0.867967,20,8.83899,0.901089,110
100,16/08/2017,A312,150709.3119,160307.986,50.75328315,4.378802653,117.09,256,5,00:20,100,10:25,10:45,170816_1025.312,0.867,0.9,0.888,0.896,-0.003,0.032,0.932,12.748,29,Ld,R3,PTu,106.13,10.96,106.62,10.47,-0.49,,14.0102,0.882869,10,10.8451,0.932296,100
101,16/08/2017,A313,150999.7352,160543.8407,50.75540297,4.382918961,120.68,256,5,00:20,100,10:52,11:12,170816_1052.313,0.858,0.898,0.888,0.896,-0.002,0.04,0.939,10.917,35,Ld,R3,PTu,106.13,14.55,106.62,14.06,-0.49,,11.2492,0.865017,10,9.70916,0.932296,90
102,16/08/2017,A314,151328.7922,160459.9366,50.75464801,4.387581982,113,128,5,00:20,100,11:23,11:43,170816_1123.314,0.883,0.92,0.935,0.93,0.01,0.037,0.956,10.223,12,Br,R3,PTu,99.84,13.16,100.14,12.86,-0.3,,8.72408,0.929127,130,8.41019,0.932296,70
103,16/08/2017,A315,151023.4473,160235.5126,50.75263114,4.383254111,105.83,128,5,00:20,100,11:52,12:12,170816_1152.315,0.99,1.016,0.89,1.002,0.112,0.022,1.038,8.53,44,Br,R3,PTu,88.34,17.49,88.33,17.5,0.01,,5.25502,1.10155,170,4.83447,1.06831,80
104,16/08/2017,A316,150767.9493,160031.7698,50.75079996,4.379633004,115.51,128,5,00:20,100,12:20,12:40,170816_1220.316,0.912,0.945,0.935,0.949,0.004,0.033,0.978,13.951,15,Ld,R3,PTu,96.58,18.93,96.79,18.72,-0.21,,8.56206,0.951536,50,8.13383,0.951536,160
105,16/08/2017,A317,150679.4287,160143.1549,50.7518014,4.378378849,119.5,256,5,00:20,100,12:50,13:10,170816_1250.317,0.877,0.908,0.888,0.91,0.001,0.031,0.939,14.155,33,Ld,R3,PTu,103.47,16.03,103.88,15.62,-0.41,,14.9125,0.898027,20,12.8054,0.932296,110
106,16/08/2017,A318,150378.2709,159887.4747,50.7495032,4.374110929,112.07,256,5,00:20,100,13:22,13:42,170816_1322.318,0.93,0.96,0.985,0.959,-0.001,0.03,0.99,15.303,24,Ld,R3,PBl,94.93,17.14,95.1,16.97,-0.17,,14.9904,0.964583,0,12.3688,0.967873,90
107,16/08/2017,A319,150140.586,160014.6935,50.75064699,4.37074299,103.24,256,5,00:20,100,13:58,14:18,170816_1358.319,0.942,0.973,0.985,0.969,-0.004,0.032,1.005,12.347,21,Br,R3,PBl,93.33,9.91,93.46,9.78,-0.12,,9.83172,0.981144,170,6.97527,0.981144,80
108,16/08/2017,A320,150283.637,160038.2052,50.75085829,4.372770099,107.39,256,5,00:20,100,14:26,14:46,170816_1426.320,0.925,0.939,0.935,0.943,0.004,0.014,0.954,13.632,12,Ld,R3,PBl,97.59,9.8,97.83,9.56,-0.24,,11.9866,0.951536,10,8.4018,0.951536,90
109,16/08/2017,A321,150316.2067,160337.4754,50.75354863,4.37323192,103.07,128,5,00:20,100,14:56,15:16,170816_1456.321,0.99,1.114,1.092,1.092,-0.022,0.124,1.238,6.11,18,Br,R3,PTu,76.71,26.36,76.43,26.64,0.28,,5.63224,1.08296,110,5.06375,1.16719,20
110,16/08/2017,A322,150516.5882,160437.2692,50.75444559,4.37607173,115.71,256,5,00:20,100,15:23,15:43,170816_1523.322,0.862,0.899,0.888,0.896,-0.003,0.037,0.937,11.175,22,Ld,R3,PTu,106.13,9.58,106.62,9.09,-0.49,,9.89355,0.88588,150,8.57328,0.913445,40
111,16/08/2017,A323,150988.8775,160054.3635,50.75100272,4.382763714,105.23,256,5,00:20,100,15:52,16:12,170816_1552.323,0.894,0.951,0.985,0.969,0.019,0.057,1.008,9.002,14,Br,R3,PTu,93.33,11.9,93.46,11.77,-0.12,,7.67889,0.967873,40,7.13957,0.997989,110
112,18/08/2017,A324,151272.791,160136.3441,50.75173913,4.3867872,114.15,128,14,00:20,109,08:52,09:12,170818_0852.324,0.95,0.993,0.985,0.979,-0.013,0.043,1.035,10.831,22,Ld,R3,PTu,91.77,22.38,91.85,22.3,-0.08,,11.4506,0.98449,40,8.37628,0.98449,120
113,18/08/2017,A325,151641.7519,159899.3865,50.74960799,4.392014555,122.71,128,15,00:20,110,09:18,09:38,170818_0918.325,0.935,0.975,0.985,0.976,0.001,0.04,1.014,10.604,28,Mal,R3,PTu,92.24,30.47,92.33,30.38,-0.09,,11.6841,0.964583,40,8.51924,1.00139,120
114,18/08/2017,A326,151527.0706,159607.9966,50.74698879,4.390388271,113.3,128,16,00:20,111,09:50,10:10,170818_0950.326,0.938,0.974,0.985,0.976,0.002,0.036,1.009,11.42,26,Br,R3,PTu,92.24,21.06,92.33,20.97,-0.09,,10.4978,0.98449,130,10.0417,0.964583,0
115,18/08/2017,A327,151371.3987,159733.9278,50.74812128,4.388182996,115.97,128,17,00:20,112,10:22,10:42,170818_1022.327,0.944,0.968,0.985,0.969,0.002,0.024,0.992,13.15,32,Ld,R3,PTu,93.33,22.64,93.46,22.51,-0.12,,13.2938,0.964583,40,11.3996,0.98449,120
116,18/08/2017,A328,151168.9605,159674.3524,50.74758617,4.385314327,108.56,256,18,00:20,113,10:47,11:07,170818_1047.328,0.971,1.006,0.985,1.002,-0.003,0.034,1.04,11.387,33,Br,R3,PTu,88.34,20.22,88.33,20.23,0.01,,12.4086,0.991217,40,9.77095,1.01512,130
117,18/08/2017,A329,151356.4417,159978.9542,50.75032404,4.387971992,113.09,128,19,00:20,114,11:24,11:44,170818_1124.329,0.916,0.949,0.935,0.946,-0.003,0.034,0.983,9.951,25,Ld,R3,PTu,97.08,16.01,97.31,15.78,-0.23,,9.41191,0.935475,10,8.02997,0.977809,90
118,18/08/2017,A330,150219.6756,159846.1204,50.74913153,4.371863598,104.61,256,20,00:30,115,12:09,12:39,170818_1209.330,0.957,0.978,0.985,0.979,0.001,0.022,1,14.728,55,Br,R3,PBl,91.77,12.84,91.85,12.76,-0.08,,14.7611,0.981144,170,12.3691,0.98449,80
119,18/08/2017,A331,150486.3738,159606.1162,50.74697377,4.375642344,99.3,512,21,00:20,116,13:01,13:21,170818_1301.331,1.067,1.116,1.15,1.122,0.006,0.049,1.165,9.043,30,Br,R3,PBl,73.37,25.93,73.02,26.28,0.35,,8.58968,1.10155,100,8.12766,1.13583,20
120,24/08/2017,A335,150725.6199,159593.1268,50.74685673,4.379032261,90.19,256,5,00:20,50,09:37,09:57,170824_0937.335,1.219,1.276,1.275,1.277,0.001,0.057,1.333,4.63,14,Br_Al,R2,PBl,57.89,32.3,58.73,31.46,-0.84,,5.16108,1.26657,120,5.01631,1.2537,40
121,24/08/2017,A336,150626.407,159766.2203,50.74841292,4.377626805,101.63,256,5,00:20,50,10:03,10:23,170824_1003.336,1.021,1.153,1.211,1.215,0.062,0.132,1.285,4.324,29,Br,R3,PBl,64.39,37.24,63.86,37.77,0.52,,4.40581,1.06831,150,3.89926,1.02554,90
122,24/08/2017,A337,147760.9199,159641.8915,50.74729151,4.337024426,108.53,128,5,00:20,50,10:39,10:59,170824_1039.337,1.026,1.056,1.037,1.059,0.003,0.029,1.085,17.471,35,Ld,R3,PBl,80.67,27.86,80.48,28.05,0.19,,18.5073,1.05028,170,14.7787,1.08296,70
123,24/08/2017,A338,147820.1066,159880.6959,50.74943852,4.337861688,112.4,128,5,00:20,50,11:05,11:25,170824_1105.338,1.056,1.113,1.092,1.085,-0.028,0.057,1.171,13.171,17,Ld,R3,PBl,77.53,34.87,77.26,35.14,0.27,,12.7991,1.13197,100,11.4398,1.1514,150
124,24/08/2017,A339,147965.6004,159720.6231,50.74800002,4.339924197,103.84,256,5,00:20,50,11:36,11:56,170824_1136.339,1.091,1.138,1.15,1.142,0.004,0.047,1.185,11.876,23,Br,R3,PBl,71.28,32.56,70.88,32.96,0.4,,12.178,1.1514,150,10.9939,1.10531,70
125,24/08/2017,A340,148115.2059,159724.6854,50.74803703,4.342044024,84.09,512,5,00:30,50,12:06,12:36,170824_1206.340,1.288,1.339,1.343,1.334,-0.005,0.051,1.389,6.671,14,Br,R3,PBl,55.23,28.86,54.57,29.52,0.66,,5.99741,1.28393,170,4.7163,1.43172,90
126,24/08/2017,A341,147636.0471,159487.6027,50.74590401,4.335256023,98.24,256,5,00:20,50,12:53,13:13,170824_1253.341,1.084,1.12,1.15,1.125,0.005,0.036,1.156,13.256,33,Br,R3,PBl,73.05,25.19,72.69,25.55,0.36,,16.0361,1.10155,60,13.2721,1.13197,140
127,24/08/2017,A342,147936.6938,159580.5567,50.74674076,4.339515365,105.17,256,5,00:20,50,13:23,13:43,170824_1323.342,1.107,1.175,1.211,1.181,0.007,0.068,1.243,10.111,21,Br,R3,PBl,67.46,37.71,66.99,38.18,0.47,,9.19727,1.18319,160,7.37725,1.24519,70
128,24/08/2017,A343,147584.2566,159687.7038,50.74770266,4.334520925,91.88,256,5,00:20,50,13:50,14:10,170824_1350.343,1.026,1.061,1.037,1.059,-0.002,0.035,1.096,9.765,16,Br,R3,PBl,80.67,11.21,80.48,11.4,0.19,,9.5033,1.05028,130,8.99695,1.06831,70
129,24/08/2017,A344,147453.3127,159843.3497,50.74910133,4.332664465,102.42,256,5,00:20,50,14:15,14:35,170824_1415.344,1.042,1.087,1.092,1.099,0.011,0.046,1.133,12.181,31,Br,R3,PBl,75.91,26.51,75.61,26.81,0.3,,12.5077,1.08296,0,9.23001,1.13197,90
130,24/08/2017,A345,147381.7726,159675.8244,50.74759501,4.331651912,100.11,256,5,00:20,50,14:40,15:00,170824_1440.345,1.07,1.122,1.15,1.138,0.017,0.052,1.173,12.053,26,Br,R3,PBl,71.69,28.42,71.3,28.81,0.39,,12.1994,1.13197,0,9.71103,1.1514,90
131,24/08/2017,A346,147249.1547,159863.872,50.74928491,4.329771414,106.84,128,5,00:20,50,15:05,15:25,170824_1505.346,1.01,1.052,1.037,1.039,-0.013,0.043,1.095,7.407,26,Br,R3,PBl,83.24,23.6,83.1,23.74,0.13,,7.86778,1.05028,160,6.36429,1.04315,70
132,24/08/2017,A347,147411.2327,160021.3383,50.75070122,4.332066972,102.18,512,5,00:20,50,15:32,15:52,170824_1532.347,0.949,0.998,0.985,0.993,-0.005,0.048,1.046,10.984,26,Br,R3,PBl,89.66,12.52,89.69,12.49,-0.03,,11.6592,1.00139,0,7.76324,0.967873,90
133,24/08/2017,A348,147144.6967,159734.1535,50.74811828,4.328292231,103.48,256,5,00:20,50,15:57,16:17,170824_1557.348,0.971,1.016,0.985,1.002,-0.014,0.046,1.062,9.938,22,Br,R3,PBl,88.34,15.14,88.33,15.15,0.01,,9.76842,0.98449,170,8.01842,1.01859,60
